date,country,state,county,fips,lat,long,locationId,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused1,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused2,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,metrics.testPositivityRatio,metrics.testPositivityRatioDetails,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused3,unused4,metrics.icuCapacityRatio,riskLevels.overall,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,riskLevels.caseDensity,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio
2020-01-21,US,,,0,,,iso1:us,1,0,,,,,,,,,,,,,,,,,,0.0,,,,,,,0,,,,,0,0,,
2020-01-22,US,,,0,,,iso1:us,1,0,,,,,,,,,,,,0,,,,,,0.0,,,,,,,0,,,0,,0,0,,
2020-01-23,US,,,0,,,iso1:us,1,0,,,,,,,,,,,,0,,,,,,0.0,,1.12,1.04,,,,0,,,0,,0,0,,
2020-01-24,US,,,0,,,iso1:us,2,0,,,,,,,,,,,,1,,,,,,0.0,,1.13,1.02,,,,0,,,0,,0,0,,
2020-01-25,US,,,0,,,iso1:us,3,0,,,,,,,,,,,,1,,,,,,0.0,,1.14,1.01,,,,0,,,0,,0,0,,
2020-01-26,US,,,0,,,iso1:us,5,0,,,,,,,,,,,,2,,,,,,0.0,,1.14,1.01,,,,0,,,0,,0,0,,
2020-01-27,US,,,0,,,iso1:us,5,0,,,,,,,,,,,,0,,,,,,0.0,,1.15,1.02,,,,0,,,0,,0,0,,
2020-01-28,US,,,0,,,iso1:us,5,0,,,,,,,,,,,,0,,,,,,0.0,,1.15,1.03,,,,0,,,0,,0,0,,
2020-01-29,US,,,0,,,iso1:us,5,0,,,,,,,,,,,,0,,,,,,0.0,,1.15,1.03,,,,0,,,0,,0,0,,
2020-01-30,US,,,0,,,iso1:us,6,0,,,,,,,,,,,,1,,,,,,0.0,,1.15,1.03,,,,0,,,0,,0,0,,
2020-01-31,US,,,0,,,iso1:us,7,0,,,,,,,,,,,,1,,,,,,0.0,,1.16,1.04,,,,0,,,0,,0,0,,
2020-02-01,US,,,0,,,iso1:us,8,0,,,,,,,,,,,,1,,,,,,0.0,,1.16,1.04,,,,0,,,0,,0,0,,
2020-02-02,US,,,0,,,iso1:us,11,0,,,,,,,,,,,,3,,,,,,0.0,,1.17,1.05,,,,0,,,0,,0,0,,
2020-02-03,US,,,0,,,iso1:us,11,0,,,,,,,,,,,,0,,,,,,0.0,,1.17,1.05,,,,0,,,0,,0,0,,
2020-02-04,US,,,0,,,iso1:us,11,0,,,,,,,,,,,,0,,,,,,0.0,,1.18,1.05,,,,0,,,0,,0,0,,
2020-02-05,US,,,0,,,iso1:us,12,0,,,,,,,,,,,,1,,,,,,0.0,,1.19,1.05,,,,0,,,0,,0,0,,
2020-02-06,US,,,0,,,iso1:us,12,0,,,,,,,,,,,,0,,,,,,0.0,,1.2,1.05,,,,0,,,0,,0,0,,
2020-02-07,US,,,0,,,iso1:us,12,0,,,,,,,,,,,,0,,,,,,0.0,,1.21,1.05,,,,0,,,0,,0,0,,
2020-02-08,US,,,0,,,iso1:us,12,0,,,,,,,,,,,,0,,,,,,0.0,,1.23,1.08,,,,0,,,0,,0,0,,
2020-02-09,US,,,0,,,iso1:us,12,0,,,,,,,,,,,,0,,,,,,0.0,,1.25,1.07,,,,0,,,0,,0,0,,
