fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,unused3,unused4,unused5,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused6,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused7,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused8,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio
02,US,AK,,state,,iso1:us#iso2:us-ak,,731545,0.11,other,74.8,,0.63,0.1,,,,,,0.78,3,2,3,4,0,,1,234541,1108,210963,3096602,235,1278,960,85,,116,90,12,,1136,1430365,500560,445185,2022-02-23,https://covidactnow.org/us/alaska-ak,0.684,0.609,0,1092635,3,181414,0.248
01,US,AL,,state,,iso1:us#iso2:us-al,,4903185,0.141,other,23.9,,0.44,0.1,,,,,,0.88,2,2,2,4,0,,3,1271558,17938,1052909,6149256,404,14645,10872,1381,,1564,1373,326,,639,9212140,3030186,2457846,2022-02-23,https://covidactnow.org/us/alabama-al,0.618,0.501,5,6082787,3,837981,0.171
05,US,AR,,state,,iso1:us#iso2:us-ar,,3017804,0.104,other,32.1,,0.61,0.1,,,,,,0.79,3,2,3,4,0,,1,816168,10305,489603,4055847,790,6614,4617,595,,699,550,141,,869,5840020,1980798,1611414,2022-02-23,https://covidactnow.org/us/arkansas-ar,0.656,0.534,13,4077679,3,605253,0.201
04,US,AZ,,state,,iso1:us#iso2:us-az,,7278717,0.131,other,30.5,,0.53,0.1,,,,,,0.7,3,2,3,4,0,,0,1969101,27751,1909622,12134681,396,15596,11652,1533,,1752,1228,264,,2738,13994520,5187145,4359263,2022-02-23,https://covidactnow.org/us/arizona-az,0.713,0.599,129,11490881,3,1710729,0.235
06,US,CA,,state,,iso1:us#iso2:us-ca,,39512223,0.06,other,26.7,,0.54,0.1,,,,,,0.75,3,1,3,4,0,,1,8921012,84437,8317886,112618659,10600,62328,47727,6079,,6994,5266,1105,,28088,85520225,32255202,27748341,2022-02-23,https://covidactnow.org/us/california-ca,0.816,0.702,328,71204664,3,13220045,0.335
08,US,CO,,state,,iso1:us#iso2:us-co,,5758736,0.054,other,28.1,,0.64,0.1,,,,,,0.64,3,1,3,4,0,,0,1312380,11939,1400645,13509737,1300,10503,6852,625,,1268,810,138,,2174,11806175,4504440,3977803,2022-02-23,https://covidactnow.org/us/colorado-co,0.782,0.691,23,10285751,3,1974599,0.343
09,US,CT,,state,,iso1:us#iso2:us-ct,,3565287,0.047,other,21.1,,0.75,0.1,,,,,,0.66,2,1,2,4,0,,0,720132,10374,841542,12925112,860,7569,5716,311,,890,585,36,,338,8273335,3341719,2767876,2022-02-23,https://covidactnow.org/us/connecticut-ct,0.937,0.776,0,7263901,3,1357958,0.381
11,US,DC,,state,,iso1:us#iso2:us-dc,,705749,0.016,other,14.7,,0.73,0.12,,,,,,0.75,2,0,2,4,0,,1,134066,1315,207734,4233607,268,3367,2636,182,,327,244,22,,369,,,,2022-02-23,https://covidactnow.org/us/district_of_columbia-dc,,,1,,3,,
10,US,DE,,state,,iso1:us#iso2:us-de,,973764,0.067,other,20.6,,0.61,0.1,,,,,,0.76,2,1,2,4,0,,1,255287,2702,281579,3203287,211,2587,2011,187,,181,138,12,,77,2212355,794265,656177,2022-02-23,https://covidactnow.org/us/delaware-de,0.816,0.674,7,1726964,3,285777,0.293
12,US,FL,,state,,iso1:us#iso2:us-fl,,21477737,0.086,other,22.1,,0.47,0.1,,,,,,0.75,2,1,2,4,0,,1,5786455,68955,6627055,47011488,2600,56441,44419,3806,,6547,4928,643,,9643,45429645,16731759,14133708,2022-02-23,https://covidactnow.org/us/florida-fl,0.779,0.658,53,36010768,3,5393158,0.251
13,US,GA,,state,,iso1:us#iso2:us-ga,,10617423,0.068,other,18.1,,0.55,0.1,,,,,,0.81,2,1,2,4,0,,2,2386839,33630,1901023,13374654,1570,20537,16747,2325,,2648,2149,429,,1261,20529595,6820068,5680810,2022-02-23,https://covidactnow.org/us/georgia-ga,0.642,0.535,87,14310435,3,1977852,0.186
15,US,HI,,state,,iso1:us#iso2:us-hi,,1415872,0.067,other,23.1,,0.54,0.1,,,,,,0.73,2,1,2,4,0,,1,229083,1301,205082,2981520,300,1783,1301,100,,138,101,6,,149,,,,2022-02-23,https://covidactnow.org/us/hawaii-hi,,,0,,3,,
19,US,IA,,state,,iso1:us#iso2:us-ia,,3155070,0.146,other,23.4,,0.59,0.1,,,,,,0.67,2,2,2,4,0,,0,746825,8948,713886,4931197,403,7366,4802,346,,549,368,44,,1295,6213555,2119790,1924503,2022-02-23,https://covidactnow.org/us/iowa-ia,0.672,0.61,0,4913483,3,989241,0.314
16,US,ID,,state,,iso1:us#iso2:us-id,,1787065,0.143,other,80.3,,0.86,0.1,,,,,,0.74,5,2,5,4,0,,1,416961,4705,561258,2474562,250,2915,1983,329,,288,213,71,,2357,3199990,1075141,945911,2022-02-23,https://covidactnow.org/us/idaho-id,0.602,0.529,27,2354451,3,383825,0.215
17,US,IL,,state,,iso1:us#iso2:us-il,,12671821,0.026,other,17.4,,0.61,0.1,,,,,,0.63,2,0,2,4,0,,0,3025329,36516,2789341,38436967,3800,27516,18870,1327,,3104,1953,216,,6194,26041055,9614314,8521005,2022-02-23,https://covidactnow.org/us/illinois-il,0.759,0.672,156,21695872,3,4163350,0.329
18,US,IN,,state,,iso1:us#iso2:us-in,,6732219,0.101,other,16.7,,0.49,0.1,,,,,,0.77,2,2,2,4,0,,1,1681289,22629,1663886,11705790,1600,14028,10472,1034,,1829,1414,203,,916,12538480,4076067,3630023,2022-02-23,https://covidactnow.org/us/indiana-in,0.605,0.539,54,9169080,3,1588023,0.236
20,US,KS,,state,,iso1:us#iso2:us-ks,,2913314,0.106,other,18.1,,0.52,0.1,,,,,,0.67,2,2,2,4,0,,0,763772,7941,635577,4594830,359,8359,4817,549,,830,552,88,,32,5723115,2134823,1747165,2022-02-23,https://covidactnow.org/us/kansas-ks,0.733,0.6,5,4421370,3,715680,0.246
21,US,KY,,state,,iso1:us#iso2:us-ky,,4467673,0.134,other,77.5,,0.81,0.1,,,,,,0.84,5,2,5,4,0,,2,1278296,13706,1121796,7448971,1240,10777,7841,1479,,1396,1171,256,,3136,8338175,2912650,2516580,2022-02-23,https://covidactnow.org/us/kentucky-ky,0.652,0.563,30,6299612,3,1070067,0.24
22,US,LA,,state,,iso1:us#iso2:us-la,,4648794,0.042,other,24.8,,0.56,0.1,,,,,,0.76,2,1,2,4,0,,1,1223067,16518,916271,9118069,800,12889,9322,613,,1549,1170,183,,1574,7870390,2791174,2437477,2022-02-23,https://covidactnow.org/us/louisiana-la,0.6,0.524,53,6037831,3,917905,0.197
25,US,MA,,state,,iso1:us#iso2:us-ma,,6892503,0.027,other,23.0,,0.64,0.1,,,,,,0.78,2,0,2,4,0,,1,1665586,23157,1654780,37345189,2350,16563,13615,570,,1277,990,113,,4380,16107190,6638703,5343238,2022-02-23,https://covidactnow.org/us/massachusetts-ma,0.95,0.775,48,14220565,3,2624853,0.381
24,US,MD,,state,,iso1:us#iso2:us-md,,6045680,0.028,other,11.9,,,,,,,,,0.7,2,0,2,4,4,,0,999151,14049,1721364,17561561,1400,10221,8156,797,,1272,890,117,,753,14936910,5118983,4462746,2022-02-23,https://covidactnow.org/us/maryland-md,0.847,0.738,38,11460393,2,2155557,0.357
23,US,ME,,state,,iso1:us#iso2:us-me,,1344212,0.069,other,71.1,,1.03,0.1,,,,,,0.65,3,1,3,4,1,,0,187697,1960,209850,3514146,86,2902,2147,234,,334,217,45,,1924,3177850,1198479,1051595,2022-02-23,https://covidactnow.org/us/maine-me,0.892,0.782,0,2694305,3,560984,0.417
26,US,MI,,state,,iso1:us#iso2:us-mi,,9986857,0.074,other,20.3,,0.51,0.1,,,,,,0.75,2,1,2,4,0,,1,2337531,33960,2512617,20686799,1000,21030,16244,1678,,2453,1843,291,,5769,19925730,6582520,5896569,2022-02-23,https://covidactnow.org/us/michigan-mi,0.659,0.59,0,15112295,3,2998899,0.3
27,US,MN,,state,,iso1:us#iso2:us-mn,,5639632,0.068,other,19.0,,0.48,0.1,,,,,,0.71,2,1,2,4,0,,1,1406824,12163,1885957,19370651,1028,9003,7150,712,,849,605,104,,1992,11919970,4183932,3830464,2022-02-23,https://covidactnow.org/us/minnesota-mn,0.742,0.679,32,9853674,3,2125488,0.377
29,US,MO,,state,,iso1:us#iso2:us-mo,,6137428,0.1,other,20.8,,0.59,0.1,,,,,,0.76,2,1,2,4,0,,1,1407975,18622,1490505,9955791,94,15110,12078,1608,,1789,1353,308,,3423,11012305,4001399,3372339,2022-02-23,https://covidactnow.org/us/missouri-mo,0.652,0.549,23,8619769,3,1366520,0.223
69,US,MP,,state,,iso1:us#iso2:us-mp,,53605,,other,302.7,,0.97,0.1,,,,,,,5,4,5,4,1,,4,8882,27,1161,57943,10,,,,,,,,,171,121430,44999,42674,2022-02-23,https://covidactnow.org/us/northern_mariana_islands-mp,0.839,0.796,1,105341,3,18794,0.351
28,US,MS,,state,,iso1:us#iso2:us-ms,,2976149,0.14,other,22.6,,0.4,0.1,,,,,,0.86,2,2,2,4,0,,3,787396,11858,454416,2148768,200,7965,5042,651,,740,633,150,,1868,5258435,1745611,1510295,2022-02-23,https://covidactnow.org/us/mississippi-ms,0.587,0.507,22,3746089,3,536689,0.18
30,US,MT,,state,,iso1:us#iso2:us-mt,,1068778,0.116,other,61.1,,0.71,0.1,,,,,,0.53,3,2,3,4,0,,0,263855,3129,249817,1677235,200,2701,1738,178,,220,117,20,,1634,1872895,688001,596291,2022-02-23,https://covidactnow.org/us/montana-mt,0.644,0.558,22,1530088,3,274454,0.257
37,US,NC,,state,,iso1:us#iso2:us-nc,,10488084,0.102,other,39.3,,0.63,0.1,,,,,,0.81,3,2,3,4,0,,2,2568409,22306,2325482,18797413,1215,21736,16989,2599,,2284,1842,449,,2400,,6807228,6375777,2022-02-23,https://covidactnow.org/us/north_carolina-nc,0.649,0.608,59,,3,3079877,0.294
38,US,ND,,state,,iso1:us#iso2:us-nd,,762062,0.084,other,31.7,,0.49,0.1,,,,,,0.72,3,1,3,4,0,,1,237139,2221,170133,2079489,500,1785,1259,90,,199,143,31,,184,1310300,490651,414206,2022-02-23,https://covidactnow.org/us/north_dakota-nd,0.644,0.544,0,1062094,3,166314,0.218
31,US,NE,,state,,iso1:us#iso2:us-ne,,1934408,0.116,other,10.7,,0.37,0.1,,,,,,0.73,2,2,2,4,0,,1,453165,3901,370458,2332200,1000,4211,3033,387,,488,355,65,,264,3753910,1339323,1205146,2022-02-23,https://covidactnow.org/us/nebraska-ne,0.692,0.623,18,3068782,3,577766,0.299
33,US,NH,,state,,iso1:us#iso2:us-nh,,1359711,0.061,other,57.8,,0.82,0.1,,,,,,0.74,3,1,3,4,0,,1,293697,2333,237624,3388488,140,2754,2104,107,,226,167,17,,1510,,,,2022-02-23,https://covidactnow.org/us/new_hampshire-nh,,,0,,3,,
34,US,NJ,,state,,iso1:us#iso2:us-nj,,8882190,0.035,other,19.6,,0.74,0.1,,,,,,0.42,2,1,2,4,0,,0,2160023,32743,2043803,22159576,3000,21604,13754,1087,,2944,1229,157,,1202,20848035,7883754,6576829,2022-02-23,https://covidactnow.org/us/new_jersey-nj,0.888,0.74,32,16475873,3,2929141,0.33
35,US,NM,,state,,iso1:us#iso2:us-nm,,2096829,0.195,other,33.3,,0.58,0.1,,,,,,0.85,3,2,3,4,0,,2,509178,6823,1045984,4774041,375,4069,3059,414,,429,364,98,,315,4228745,1796868,1455661,2022-02-23,https://covidactnow.org/us/new_mexico-nm,0.857,0.694,27,3748356,3,692349,0.33
32,US,NV,,state,,iso1:us#iso2:us-nv,,3080156,0.096,other,12.8,,0.43,0.1,,,,,,0.84,2,1,2,4,0,,2,678401,9554,849947,4796389,600,3368,2810,323,,365,306,64,,1056,5646310,2274860,1833545,2022-02-23,https://covidactnow.org/us/nevada-nv,0.739,0.595,46,4694737,2,675709,0.219
36,US,NY,,state,,iso1:us#iso2:us-ny,,19453561,0.029,other,15.3,,0.65,0.1,,,,,,0.73,2,0,2,4,0,,1,4895859,66485,5157692,75177089,9620,44222,33442,2953,,4459,3261,433,,1623,43725445,17258020,14651082,2022-02-23,https://covidactnow.org/us/new_york-ny,0.887,0.753,67,37674554,3,6361311,0.327
39,US,OH,,state,,iso1:us#iso2:us-oh,,11689100,0.058,other,13.8,,0.57,0.1,,,,,,0.7,2,1,2,4,0,,0,2647048,36267,2151714,18554654,1659,26434,20079,1983,,3695,2579,346,,1369,21861555,7339678,6719821,2022-02-23,https://covidactnow.org/us/ohio-oh,0.628,0.575,774,17177562,2,3373531,0.289
40,US,OK,,state,,iso1:us#iso2:us-ok,,3956971,0.113,other,23.2,,0.42,0.1,,,,,,0.84,2,2,2,4,0,,2,1015935,12767,865870,3123085,700,9010,6258,858,,945,795,189,,2648,6960630,2765287,2212609,2022-02-23,https://covidactnow.org/us/oklahoma-ok,0.699,0.559,0,5707196,3,797696,0.202
41,US,OR,,state,,iso1:us#iso2:us-or,,4217737,0.082,other,28.7,,0.58,0.1,,,,,,0.76,3,1,3,4,0,,1,689325,6485,596023,6731437,656,6892,5237,776,,730,553,121,,3372,9486385,3239853,2890363,2022-02-23,https://covidactnow.org/us/oregon-or,0.768,0.685,29,7415021,3,1470517,0.349
42,US,PA,,state,,iso1:us#iso2:us-pa,,12801989,0.082,other,19.5,,0.62,0.1,,,,,,0.76,2,1,2,4,0,,1,2746745,42789,2551319,22221062,1508,28835,23254,2011,,3537,2692,337,,2600,28685125,10636984,8545340,2022-02-23,https://covidactnow.org/us/pennsylvania-pa,0.831,0.668,103,21998982,3,3495985,0.273
